Country Code (ISO3),item,macro_impact,type,physical_volume,physical_unit,Country Name,gdp2022,relative impact
ALB,artichoke,50515.37072227299,vegetal,42.645199208368574,tonnes,Albania,18916378860.5488,2.6704567028748672e-06
ALB,asparagus,129166.55992322057,vegetal,38.234641479110714,tonnes,Albania,18916378860.5488,6.828292078279574e-06
ALB,avocado,33125.740329878965,vegetal,24.201794154518588,tonnes,Albania,18916378860.5488,1.7511671009595079e-06
ALB,banana,662.653401538777,vegetal,1.1659180349174405,tonnes,Albania,18916378860.5488,3.503066873548292e-08
ALB,barley,1240220.4693442383,vegetal,3127.9204775390626,tonnes,Albania,18916378860.5488,6.556331306785092e-05
ALB,bean,12463394.6218188,vegetal,5352.772127563477,tonnes,Albania,18916378860.5488,0.0006588678897636126
ALB,beetfor,13402.425585581665,vegetal,271.7757216079712,tonnes,Albania,18916378860.5488,7.085090483957898e-07
ALB,berrynes,3202.8761016791195,vegetal,1.69127877961258,tonnes,Albania,18916378860.5488,1.6931761228143416e-07
ALB,broadbean,60021.12137609748,vegetal,64.04558587875367,tonnes,Albania,18916378860.5488,3.1729709908313895e-06
ALB,cabbagefor,0.0,vegetal,0.0,tonnes,Albania,18916378860.5488,0.0
ALB,cabbage,9354775.939333033,vegetal,27433.36052590332,tonnes,Albania,18916378860.5488,0.0004945331243519846
ALB,carob,264557.7051044979,vegetal,241.25269478797912,tonnes,Albania,18916378860.5488,1.3985642128169057e-05
ALB,carrotfor,0.0,vegetal,0.0,tonnes,Albania,18916378860.5488,0.0
ALB,carrot,2725662.488334787,vegetal,5617.6061177551255,tonnes,Albania,18916378860.5488,0.00014409007709288975
ALB,cauliflower,1380945.9867468567,vegetal,1249.7248748840332,tonnes,Albania,18916378860.5488,7.300266065335047e-05
ALB,cherry,8887490.347867223,vegetal,8737.210330187987,tonnes,Albania,18916378860.5488,0.00046983042649894247
ALB,chestnut,2472178.624072473,vegetal,1669.2630817504883,tonnes,Albania,18916378860.5488,0.00013068984514939824
ALB,chickpea,1039.4864805838774,vegetal,0.988598379023636,tonnes,Albania,18916378860.5488,5.495166322513166e-08
ALB,chicory,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,chilleetc,32079495.093332764,vegetal,49179.05119321289,tonnes,Albania,18916378860.5488,0.0016958581412342296
ALB,citrusnes,49577.16841021666,vegetal,69.47959976205824,tonnes,Albania,18916378860.5488,2.620859350285731e-06
ALB,clover,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,cotton,138026.0127661405,vegetal,141.35130214920045,tonnes,Albania,18916378860.5488,7.2966403233761466e-06
ALB,cowpea,19773.41488170359,vegetal,10.864513671265708,tonnes,Albania,18916378860.5488,1.0453065582727457e-06
ALB,cucumberetc,28121547.03189002,vegetal,44418.807505749515,tonnes,Albania,18916378860.5488,0.0014866242233358483
ALB,eggplant,5019681.223222165,vegetal,5213.628191963196,tonnes,Albania,18916378860.5488,0.0002653616350268285
ALB,fig,11373127.200844394,vegetal,11805.197426660156,tonnes,Albania,18916378860.5488,0.0006012317306968146
ALB,flax,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,fruitnes,249220.22873896486,vegetal,288.71666906738284,tonnes,Albania,18916378860.5488,1.3174838090112903e-05
ALB,garlic,9348091.965470918,vegetal,9086.40354342041,tonnes,Albania,18916378860.5488,0.0004941797811507625
ALB,grapefruitetc,4472.308115477763,vegetal,8.43770488371104,tonnes,Albania,18916378860.5488,2.3642517145842428e-07
ALB,grape,33878155.380635574,vegetal,58129.985210424806,tonnes,Albania,18916378860.5488,0.0017909429510999286
ALB,grassnes,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,greenbean,6010092.860742953,vegetal,4787.011438265991,tonnes,Albania,18916378860.5488,0.0003177189939495951
ALB,greenbroadbean,26549.679958031316,vegetal,50.94092034816742,tonnes,Albania,18916378860.5488,1.4035286644317642e-06
ALB,greencorn,2253031.9074441274,vegetal,4305.156511039734,tonnes,Albania,18916378860.5488,0.00011910482043383871
ALB,greenonion,9022981.479188852,vegetal,11212.851347320557,tonnes,Albania,18916378860.5488,0.0004769930622401944
ALB,greenpea,3427017.8070229003,vegetal,3455.7001180023194,tonnes,Albania,18916378860.5488,0.00018116669328135224
ALB,groundnut,420.18760049084955,vegetal,0.21049825761183608,tonnes,Albania,18916378860.5488,2.221289833474286e-08
ALB,hazelnut,4239.653283659491,vegetal,2.3762208741505946,tonnes,Albania,18916378860.5488,2.2412605049381476e-07
ALB,hempseed,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,hemp,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,hop,4046202.2433640137,vegetal,495.16634155273437,tonnes,Albania,18916378860.5488,0.00021389940818972503
ALB,kiwi,294920.95027690916,vegetal,480.79711489551545,tonnes,Albania,18916378860.5488,1.5590772020959244e-05
ALB,legumenes,2418993.1943990355,vegetal,2219.9580943931574,tonnes,Albania,18916378860.5488,0.00012787823780818777
ALB,lemonlime,5591775.343411931,vegetal,8154.842268356323,tonnes,Albania,18916378860.5488,0.0002956049561406227
ALB,lentil,803.5696679926604,vegetal,0.7138082771420479,tonnes,Albania,18916378860.5488,4.2480100124688834e-08
ALB,lettuce,4430958.307683107,vegetal,5323.111854496765,tonnes,Albania,18916378860.5488,0.00023423924527775909
ALB,lupin,66.8619021037959,vegetal,0.04713896087408058,tonnes,Albania,18916378860.5488,3.534603667895458e-09
ALB,maizefor,8718008.51868151,vegetal,20147.928168896484,tonnes,Albania,18916378860.5488,0.00046087089833368787
ALB,maize,39764144.24212867,vegetal,91897.72184453125,tonnes,Albania,18916378860.5488,0.0021021012813958323
ALB,melonetc,4827934.631096584,vegetal,8644.466662661742,tonnes,Albania,18916378860.5488,0.0002552250970805792
ALB,melonseed,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,millet,36.26913598061746,vegetal,0.14187952528602477,tonnes,Albania,18916378860.5488,1.917340324382001e-09
ALB,mixedgrain,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,nutnes,62259038.0452686,vegetal,15825.082112060547,tonnes,Albania,18916378860.5488,0.0032912767556751263
ALB,oats,3857676.5570456306,vegetal,8176.508175170899,tonnes,Albania,18916378860.5488,0.00020393314098244444
ALB,olive,34027370.589127496,vegetal,38422.956853125,tonnes,Albania,18916378860.5488,0.0017988310997562825
ALB,onion,19410073.64099323,vegetal,43297.0636649414,tonnes,Albania,18916378860.5488,0.0010260987995685611
ALB,orange,4822875.651357935,vegetal,9703.975153637695,tonnes,Albania,18916378860.5488,0.0002549576579593846
ALB,peachetc,4658809.389167472,vegetal,7475.624822155763,tonnes,Albania,18916378860.5488,0.000246284419629789
ALB,pear,4944764.551552588,vegetal,5285.126711791992,tonnes,Albania,18916378860.5488,0.0002614012220840628
ALB,pea,21238.707071831035,vegetal,25.491291831645256,tonnes,Albania,18916378860.5488,1.1227681169003008e-06
ALB,pimento,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,pistachio,103882.28164947429,vegetal,25.696686561434614,tonnes,Albania,18916378860.5488,5.491657912716412e-06
ALB,plum,12425946.767363552,vegetal,17153.432864941402,tonnes,Albania,18916378860.5488,0.0006568882373823978
ALB,popcorn,0.0,vegetal,0.0,tonnes,Albania,18916378860.5488,0.0
ALB,poppy,2380.12340802337,vegetal,0.9192150032917661,tonnes,Albania,18916378860.5488,1.2582341607606806e-07
ALB,potato,24569695.128837034,vegetal,53354.386816149905,tonnes,Albania,18916378860.5488,0.0012988582703890833
ALB,pulsenes,523922.2481226357,vegetal,870.5051808105469,tonnes,Albania,18916378860.5488,2.7696751687253726e-05
ALB,pumpkinetc,2793344.1098514255,vegetal,4267.905439039611,tonnes,Albania,18916378860.5488,0.0001476680146049044
ALB,quince,12356196.48930777,vegetal,15400.967829125977,tonnes,Albania,18916378860.5488,0.000653200941913747
ALB,rapeseed,0.0,vegetal,0.0,tonnes,Albania,18916378860.5488,0.0
ALB,rasberry,263863.3684608739,vegetal,116.86833035095214,tonnes,Albania,18916378860.5488,1.3948936548906628e-05
ALB,rice,1534.8624233860564,vegetal,3.286235904974597,tonnes,Albania,18916378860.5488,8.113933616476146e-08
ALB,ryefor,0.0,vegetal,0.0,tonnes,Albania,18916378860.5488,0.0
ALB,rye,456127.1195078319,vegetal,813.3507837158202,tonnes,Albania,18916378860.5488,2.4112813708712046e-05
