Country Code (ISO3),macro_impact,physical_volume,type,physical_unit,Country Name,gdp2022,relative impact
JOR,546580943.8609762,936872.4014434529,vegetal,tonnes,Jordan,48653381830.9859,0.011234181947715605
JPN,23235352798.781906,15538292.56668008,vegetal,tonnes,Japan,4256410760723.75,0.005458907540876299
KAZ,1437713209.4733462,4677582.962706374,vegetal,tonnes,Kazakhstan,225496328925.494,0.006375772130411842
KEN,3707397061.373898,8210096.062575702,vegetal,tonnes,Kenya,113419826113.903,0.03268738093153756
KGZ,275269116.0897976,635619.4748821536,vegetal,tonnes,Kyrgyz Republic,12134931017.9465,0.022684028090699377
KHM,2131106835.3348489,4589939.64366177,vegetal,tonnes,Cambodia,29504829319.3169,0.07222908535653202
KOR,10022772067.80135,7231323.143338599,vegetal,tonnes,Korea,1673916511799.71,0.005987617660229288
LAO,2048325100.8615634,4072090.8427436706,vegetal,tonnes,Lao PDR,15468785203.7532,0.13241667486368464
LBN,1158575450.1254945,1584998.9582260302,vegetal,tonnes,Lebanon,20992421948.8081,0.05519017543334372
LBR,78674477.2774053,197398.1791866321,vegetal,tonnes,Liberia,4001047000.0,0.0196634724054492
LKA,3192954350.713068,7389904.261601492,vegetal,tonnes,Sri Lanka,74144875098.0587,0.04306372283303863
LSO,17232799.79759904,43513.27499831525,vegetal,tonnes,Lesotho,2289355249.40148,0.007527359417942809
LTU,248726189.65543452,497362.0263376891,vegetal,tonnes,Lithuania,71013953448.2085,0.003502497432942304
LUX,92549362.72452591,93969.74913772289,vegetal,tonnes,Luxembourg,81641807865.7591,0.0011336025639792514
LVA,296742860.63715,723682.8325570963,vegetal,tonnes,Latvia,40422521943.4418,0.0073410278817423935
MAR,3093048743.9468594,7892554.611814277,vegetal,tonnes,Morocco,130912558829.84,0.023626829783131815
MDA,106260246.72477107,402197.67123812233,vegetal,tonnes,Moldova,14510490660.2516,0.007322994736204779
MDG,3023968497.298344,8094510.478203142,vegetal,tonnes,Madagascar,15302510500.0528,0.19761257456989886
MEX,14997767682.213648,52196207.24867298,vegetal,tonnes,Mexico,1463323889036.56,0.010249110121538473
MKD,555129193.2464362,986760.9420239277,vegetal,tonnes,North Macedonia,13711469681.1535,0.04048648366334243
MLI,810313533.4587971,1962849.2054918606,vegetal,tonnes,Mali,18780322203.7584,0.04314694522635153
