,Area Code (M49),Area,Item Code (CPC),Item,Volume,Unit
300,52,Barbados,21111.01,"Meat of cattle with the bone, fresh or chilled",1235697.75,USD
301,52,Barbados,21121,"Meat of chickens, fresh or chilled",42897511.875,USD
302,52,Barbados,21116,"Meat of goat, fresh or chilled",201875.21833333335,USD
303,52,Barbados,21113.01,"Meat of pig with the bone, fresh or chilled",5854595.466666667,USD
304,52,Barbados,21115,"Meat of sheep, fresh or chilled",531682.96875,USD
305,52,Barbados,21124,"Meat of turkeys, fresh or chilled",,USD
306,52,Barbados,02951.01,Raw hides and skins of cattle,,USD
307,52,Barbados,02954,Raw hides and skins of goats or kids,,USD
308,52,Barbados,02953,Raw hides and skins of sheep or lambs,,USD
309,52,Barbados,02211,Raw milk of cattle,2844637.4075,USD
310,52,Barbados,21514,"Sheep fat, unrendered",,USD
311,112,Belarus,21512,"Cattle fat, unrendered",,USD
312,112,Belarus,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
313,112,Belarus,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
314,112,Belarus,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
315,112,Belarus,21159.01,"Edible offals of horses and other equines,  fresh, chilled or frozen",,USD
316,112,Belarus,0232,"Eggs from other birds in shell, fresh, n.e.c.",,USD
317,112,Belarus,21511.01,Fat of pigs,,USD
318,112,Belarus,0231,"Hen eggs in shell, fresh",431431275.5424,USD
319,112,Belarus,21118.01,"Horse meat, fresh or chilled",1471020.0,USD
320,112,Belarus,21111.01,"Meat of cattle with the bone, fresh or chilled",1805609234.9999998,USD
321,112,Belarus,21121,"Meat of chickens, fresh or chilled",1452046706.7692308,USD
322,112,Belarus,21122,"Meat of ducks, fresh or chilled",7666928.0,USD
323,112,Belarus,21113.01,"Meat of pig with the bone, fresh or chilled",1336289205.0,USD
324,112,Belarus,21114,"Meat of rabbits and hares, fresh or chilled",,USD
325,112,Belarus,21115,"Meat of sheep, fresh or chilled",6458990.0,USD
326,112,Belarus,02910,Natural honey,,USD
327,112,Belarus,21170.92,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",,USD
328,112,Belarus,02951.01,Raw hides and skins of cattle,,USD
329,112,Belarus,02953,Raw hides and skins of sheep or lambs,,USD
330,112,Belarus,02211,Raw milk of cattle,3874169168.0,USD
331,112,Belarus,02292,Raw milk of goats,8754338.978,USD
332,112,Belarus,21514,"Sheep fat, unrendered",,USD
333,112,Belarus,02941,"Shorn wool, greasy, including fleece-washed shorn wool",89566.12000000001,USD
334,56,Belgium,21111.01,"Meat of cattle with the bone, fresh or chilled",1464025185.0,USD
335,56,Belgium,21121,"Meat of chickens, fresh or chilled",1213151516.25,USD
336,56,Belgium,21122,"Meat of ducks, fresh or chilled",765504.0,USD
337,56,Belgium,21116,"Meat of goat, fresh or chilled",2705195.5555555555,USD
338,56,Belgium,21113.01,"Meat of pig with the bone, fresh or chilled",2380323101.3333335,USD
339,56,Belgium,21115,"Meat of sheep, fresh or chilled",13636104.375,USD
340,56,Belgium,02910,Natural honey,,USD
341,56,Belgium,02212,Raw milk of buffalo,0.0,USD
342,56,Belgium,02211,Raw milk of cattle,3220025310.0,USD
343,56,Belgium,02292,Raw milk of goats,62373700.0,USD
344,56,Belgium,02291,Raw milk of sheep,0.0,USD
345,84,Belize,21512,"Cattle fat, unrendered",,USD
346,84,Belize,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
347,84,Belize,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
348,84,Belize,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
349,84,Belize,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
350,84,Belize,21511.01,Fat of pigs,,USD
351,84,Belize,21515,"Goat fat, unrendered",,USD
352,84,Belize,0231,"Hen eggs in shell, fresh",6950806.065,USD
353,84,Belize,21111.01,"Meat of cattle with the bone, fresh or chilled",9562498.124999998,USD
354,84,Belize,21121,"Meat of chickens, fresh or chilled",58496804.07692308,USD
355,84,Belize,21122,"Meat of ducks, fresh or chilled",32231.08,USD
356,84,Belize,21116,"Meat of goat, fresh or chilled",5922.000857142857,USD
357,84,Belize,21113.01,"Meat of pig with the bone, fresh or chilled",8184448.649999999,USD
358,84,Belize,21115,"Meat of sheep, fresh or chilled",316490.51,USD
