,Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note,Country Group
155,QCL,Crops and livestock products,32,Argentina,5510,Production,21514,"Sheep fat, unrendered",2022,2022,t,2673.59,I,Imputed value,,Upper-middle-income economies
156,QCL,Crops and livestock products,32,Argentina,5510,Production,02941,"Shorn wool, greasy, including fleece-washed shorn wool",2022,2022,t,37995.0,A,Official figure,,Upper-middle-income economies
157,QCL,Crops and livestock products,51,Armenia,5510,Production,21512,"Cattle fat, unrendered",2022,2022,t,2110.57,I,Imputed value,,Upper-middle-income economies
158,QCL,Crops and livestock products,51,Armenia,5510,Production,21151,"Edible offal of cattle, fresh, chilled or frozen",2022,2022,t,12415.09,I,Imputed value,,Upper-middle-income economies
159,QCL,Crops and livestock products,51,Armenia,5510,Production,21156,"Edible offal of goat, fresh, chilled or frozen",2022,2022,t,4.45,I,Imputed value,,Upper-middle-income economies
160,QCL,Crops and livestock products,51,Armenia,5510,Production,21153,"Edible offal of pigs, fresh, chilled or frozen",2022,2022,t,2352.63,I,Imputed value,,Upper-middle-income economies
161,QCL,Crops and livestock products,51,Armenia,5510,Production,21155,"Edible offal of sheep, fresh, chilled or frozen",2022,2022,t,2400.0,I,Imputed value,,Upper-middle-income economies
162,QCL,Crops and livestock products,51,Armenia,5510,Production,21511.01,Fat of pigs,2022,2022,t,1176.32,I,Imputed value,,Upper-middle-income economies
163,QCL,Crops and livestock products,51,Armenia,5510,Production,21515,"Goat fat, unrendered",2022,2022,t,1.31,I,Imputed value,,Upper-middle-income economies
164,QCL,Crops and livestock products,51,Armenia,5510,Production,0231,"Hen eggs in shell, fresh",2022,2022,t,41200.0,A,Official figure,,Upper-middle-income economies
166,QCL,Crops and livestock products,51,Armenia,5510,Production,21111.01,"Meat of cattle with the bone, fresh or chilled",2022,2022,t,65800.0,A,Official figure,,Upper-middle-income economies
167,QCL,Crops and livestock products,51,Armenia,5510,Production,21121,"Meat of chickens, fresh or chilled",2022,2022,t,11900.0,A,Official figure,,Upper-middle-income economies
168,QCL,Crops and livestock products,51,Armenia,5510,Production,21116,"Meat of goat, fresh or chilled",2022,2022,t,28.11,I,Imputed value,,Upper-middle-income economies
169,QCL,Crops and livestock products,51,Armenia,5510,Production,21113.01,"Meat of pig with the bone, fresh or chilled",2022,2022,t,14900.0,A,Official figure,,Upper-middle-income economies
170,QCL,Crops and livestock products,51,Armenia,5510,Production,21114,"Meat of rabbits and hares, fresh or chilled",2022,2022,t,0.0,M,"Missing value (data cannot exist, not applicable)",,Upper-middle-income economies
171,QCL,Crops and livestock products,51,Armenia,5510,Production,21115,"Meat of sheep, fresh or chilled",2022,2022,t,10800.0,A,Official figure,,Upper-middle-income economies
172,QCL,Crops and livestock products,51,Armenia,5510,Production,02910,Natural honey,2022,2022,t,2200.0,A,Official figure,,Upper-middle-income economies
173,QCL,Crops and livestock products,51,Armenia,5510,Production,02951.01,Raw hides and skins of cattle,2022,2022,t,8938.87,I,Imputed value,,Upper-middle-income economies
174,QCL,Crops and livestock products,51,Armenia,5510,Production,02954,Raw hides and skins of goats or kids,2022,2022,t,5.03,I,Imputed value,,Upper-middle-income economies
175,QCL,Crops and livestock products,51,Armenia,5510,Production,02953,Raw hides and skins of sheep or lambs,2022,2022,t,1464.0,I,Imputed value,,Upper-middle-income economies
176,QCL,Crops and livestock products,51,Armenia,5510,Production,02211,Raw milk of cattle,2022,2022,t,607000.0,A,Official figure,,Upper-middle-income economies
177,QCL,Crops and livestock products,51,Armenia,5510,Production,02292,Raw milk of goats,2022,2022,t,3700.0,E,Estimated value,,Upper-middle-income economies
178,QCL,Crops and livestock products,51,Armenia,5510,Production,02291,Raw milk of sheep,2022,2022,t,43470.0,E,Estimated value,,Upper-middle-income economies
