Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
KHM,116,Bf,206261.27,685957.2,27236148.28333333
KHM,116,Ch,1974330.9,13040296.0,101587333.939
KHM,116,Ct,568483.2,2878831.0,399444570.9098
KHM,116,Dk,1065653.2,8207299.0,21448081.168
KHM,116,Gt,42579.58,159283.69,
KHM,116,Ho,4595.508,29971.879,
KHM,116,Pg,498448.0,2183751.0,348850788.8688
KHM,116,Sh,7657.7544,36366.984,
CMR,120,Bf,0.0,0.0,
CMR,120,Ch,21403856.0,51196536.0,660358224.709
CMR,120,Ct,2436631.5,6024239.0,996024366.5508
CMR,120,Dk,637.1456909179688,1436.4863,0.0
CMR,120,Gt,2160996.5,5006731.0,275297278.88750005
CMR,120,Ho,8719.556640625,17914.424,812346.2779999999
CMR,120,Pg,860075.375,1843075.4,167307997.338
CMR,120,Sh,1671427.75,3994665.5,200576179.3533333
CAN,124,Bf,6590.775,69818.74,
CAN,124,Ch,17976032.0,167365620.0,5458909625.076351
CAN,124,Ct,1181091.0,11633022.0,15337230981.2425
CAN,124,Dk,184623.22,1449348.8,60183860.68799999
CAN,124,Gt,2848.7095,29919.264,
CAN,124,Ho,39283.805,399169.16,41558200.80033333
CAN,124,Pg,795776.94,13175039.0,5217585964.8
CAN,124,Sh,72490.08,822849.94,105787827.3759375
CPV,132,Bf,0.0,0.0,
CPV,132,Ch,965394.25,968859.6,7554310.117000001
CPV,132,Ct,20328.73828125,20556.006,8525255.176
CPV,132,Dk,0.0,0.0,
CPV,132,Gt,185107.5625,188952.9,16074474.565
CPV,132,Ho,509.57513427734375,511.13275,
CPV,132,Pg,77640.28125,78211.086,8678533.2282
CPV,132,Sh,9200.8125,9214.449,776553.504
CAF,140,Bf,0.0,0.0,
CAF,140,Ch,1483123.75,6702830.5,26295520.223600004
CAF,140,Ct,867162.875,4414728.0,711523556.3343333
CAF,140,Dk,2782.7568359375,12089.231,
CAF,140,Gt,1295298.25,5881833.0,166495430.97
CAF,140,Ho,44.64419555664063,96.13827,
CAF,140,Pg,214673.0625,1014081.0,67084993.98
CAF,140,Sh,98787.5625,399738.1,18002112.48
TCD,148,Bf,0.0,0.0,
TCD,148,Ch,1534858.375,5978831.0,31423139.398
TCD,148,Ct,5652497.0,24943920.0,3504012602.089333
TCD,148,Dk,39.75321578979492,61.243515,
TCD,148,Gt,7628545.0,30568196.0,1072279671.458
TCD,148,Ho,222942.25,1074207.8,5479598.534
TCD,148,Pg,20418.869140625,105231.84,8788234.1274
TCD,148,Sh,6799100.0,26465516.0,1572016424.4
CHL,152,Bf,0.052018717,0.97166884,
CHL,152,Ch,48529470.0,103070350.0,2500536869.979757
CHL,152,Ct,1118342.4,2724032.8,2781921132.4025
CHL,152,Dk,388.49762,1155.0436,
CHL,152,Gt,154234.7,412198.25,47942916.17516667
CHL,152,Ho,127127.72,309608.4,18703622.624333333
CHL,152,Pg,1120482.1,2693662.0,1329106965.4533334
CHL,152,Sh,937516.6,2147351.2,57444837.8925
CHN,156,Bf,4932981.5,27015154.0,6391768520.265667
CHN,156,Ch,599400260.0,4687862000.0,105835085485.81212
CHN,156,Ct,14043096.0,63035344.0,55150475107.99999
CHN,156,Dk,88680690.0,674401150.0,10279680000.0
CHN,156,Gt,25481318.0,141609200.0,15957336135.08257
CHN,156,Ho,1324678.0,4158464.8,779977512.6139998
CHN,156,Pg,66719324.0,471183650.0,204371473500.0
CHN,156,Sh,40484892.0,162191380.0,18492389550.667843
COL,170,Bf,95905.336,234936.61,54619533.2
COL,170,Ch,101844824.0,149005700.0,7009296730.702939
COL,170,Ct,8832867.0,22526884.0,7370779188.275
COL,170,Dk,546854.7,891803.44,
COL,170,Gt,476227.7,1065198.4,2725393.9428571425
COL,170,Ho,352559.5,811564.8,25950803.194
COL,170,Pg,3279250.0,5743426.0,1907017107.3
COL,170,Sh,353568.2,724681.7,7923398.769200001
COD,180,Bf,0.0,0.0,
COD,180,Ch,5651049.0,20268974.0,56083162.1196
COD,180,Ct,448598.5625,998311.6,145806193.002
COD,180,Dk,945195.6875,2256054.2,
COD,180,Gt,1410027.25,4039880.8,127377710.46
COD,180,Ho,17.39150619506836,32.199963,
COD,180,Pg,366369.625,985936.4,94457504.466
COD,180,Sh,406602.46875,905485.0,20033915.22
COG,178,Bf,0.0,0.0,
COG,178,Ch,1673535.5,2886799.5,29696124.267000005
COG,178,Ct,67061.609375,340230.72,38636079.0074
COG,178,Dk,961.467041015625,2368.4963,
COG,178,Gt,150552.140625,325553.0,5365231.2870000005
COG,178,Ho,58.62268829345703,74.9387,
COG,178,Pg,42299.32421875,98471.46,4829182.4232
COG,178,Sh,51264.265625,125602.95,4137168.18
CRI,188,Bf,2540.205078125,3915.858,
CRI,188,Ch,14459321.0,23999274.0,616342123.7769232
CRI,188,Ct,780586.75,1302582.5,1060460147.22561
CRI,188,Dk,0.0,0.0,
CRI,188,Gt,3731.94873046875,5309.9814,10893305.698
CRI,188,Ho,77137.0625,125638.06,
