Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
CPV,132,Ch,321598.03125,968859.6,7554310.117000001
CPV,132,Ct,5864.9091796875,20556.006,8525255.176
CPV,132,Dk,0.0,0.0,
CPV,132,Gt,57506.515625,188952.9,16074474.565
CPV,132,Ho,156.3123779296875,511.13275,
CPV,132,Pg,20554.412109375,78211.086,8678533.2282
CPV,132,Sh,2462.001220703125,9214.449,776553.504
CAF,140,Bf,0.0,0.0,
CAF,140,Ch,1628310.75,6702830.5,26295520.223600004
CAF,140,Ct,939186.1875,4414728.0,711523556.3343333
CAF,140,Dk,3237.68408203125,12089.231,
CAF,140,Gt,1419756.75,5881833.0,166495430.97
CAF,140,Ho,64.0152587890625,96.13827,
CAF,140,Pg,280084.9375,1014081.0,67084993.98
CAF,140,Sh,99631.0078125,399738.1,18002112.48
TCD,148,Bf,0.0,0.0,
TCD,148,Ch,2412488.75,5978831.0,31423139.398
TCD,148,Ct,7585191.5,24943920.0,3504012602.089333
TCD,148,Dk,44.89931106567383,61.243515,
TCD,148,Gt,9815237.0,30568196.0,1072279671.458
TCD,148,Ho,276813.6875,1074207.8,5479598.534
TCD,148,Pg,59064.7265625,105231.84,8788234.1274
TCD,148,Sh,8614815.0,26465516.0,1572016424.4
CHL,152,Bf,0.052018717,0.97166884,
CHL,152,Ch,50435084.0,103070350.0,2500536869.979757
CHL,152,Ct,854092.8,2724032.8,2781921132.4025
CHL,152,Dk,262.53668,1155.0436,
CHL,152,Gt,140269.55,412198.25,47942916.17516667
CHL,152,Ho,100219.01,309608.4,18703622.624333333
CHL,152,Pg,1610810.2,2693662.0,1329106965.4533334
CHL,152,Sh,532475.06,2147351.2,57444837.8925
CHN,156,Bf,7131123.0,27015154.0,6391768520.265667
CHN,156,Ch,786815550.0,4687862000.0,105835085485.81212
CHN,156,Ct,16318288.0,63035344.0,55150475107.99999
CHN,156,Dk,118798980.0,674401150.0,10279680000.0
CHN,156,Gt,29567056.0,141609200.0,15957336135.08257
CHN,156,Ho,1435487.5,4158464.8,779977512.6139998
CHN,156,Pg,89795440.0,471183650.0,204371473500.0
CHN,156,Sh,41464570.0,162191380.0,18492389550.667843
COL,170,Bf,49823.8,234936.61,54619533.2
COL,170,Ch,70808200.0,149005700.0,7009296730.702939
COL,170,Ct,5529807.5,22526884.0,7370779188.275
COL,170,Dk,244614.2,891803.44,
